
Seed: 1702081805

Informe o cenário desejado (1, 2, 3, ou 4): 
Cenário 1 (60%):
-> Taxa de chegada de pessoas (s): 66.4894
-> Tempo medio de servico (s): 120
-> Tempo a ser simulado (s): 864.000
Nova Conexão: 13.096937
Nova Conexão: 13.106717
Nova Conexão: 13.175337
Nova Conexão: 13.210998
Nova Conexão: 13.219202
Nova Conexão: 13.219206
Nova Conexão: 13.220336
Nova Conexão: 13.225710
Nova Conexão: 13.254655
Nova Conexão: 13.273840
Nova Conexão: 13.291296
Nova Conexão: 13.307847
Nova Conexão: 13.393810
Nova Conexão: 13.452001
Nova Conexão: 13.471209
Nova Conexão: 13.494936
Nova Conexão: 13.512922
Nova Conexão: 13.526305
Nova Conexão: 13.542848
Nova Conexão: 13.546489
Nova Conexão: 13.548313
Nova Conexão: 13.577646
Nova Conexão: 13.605245
Nova Conexão: 13.611132
Nova Conexão: 13.621551
Nova Conexão: 13.622838
Nova Conexão: 13.650481
Nova Conexão: 13.664568
Nova Conexão: 13.681965
Nova Conexão: 13.706725
Nova Conexão: 13.707720
Nova Conexão: 13.711811
Nova Conexão: 13.742773
Nova Conexão: 13.751729
Nova Conexão: 13.757603
Nova Conexão: 13.772437
Nova Conexão: 13.804201
Nova Conexão: 13.818912
Nova Conexão: 13.834405
Nova Conexão: 13.842439
Nova Conexão: 13.916191
Nova Conexão: 13.922200
Nova Conexão: 13.926428
Nova Conexão: 13.943149
Nova Conexão: 13.954332
Nova Conexão: 13.960518
Nova Conexão: 13.961756
Nova Conexão: 13.968240
Nova Conexão: 13.975993
Nova Conexão: 13.986146
Nova Conexão: 13.995487
Nova Conexão: 13.998173
Nova Conexão: 14.012057
Nova Conexão: 14.013004
Nova Conexão: 14.033004
Nova Conexão: 14.040404
Nova Conexão: 14.093503
Nova Conexão: 14.105902
Nova Conexão: 14.121923
Nova Conexão: 14.124304
